TeamName,Abbreviation,PlayerNumbers,InjuredPlayers,Ankle,Back,Calf,COVID19,Foot,Groin,Hamstring,Head,Knee,Knock,Muscles,Shoulder,Thigh,OthCauses,OthMembers
Arsenal,ARS,30,25,6,0,9,3,0,5,0,3,5,6,1,1,12,2,1
Aston Villa,AST,26,14,1,0,2,0,2,1,0,0,4,1,0,0,4,1,2
Brighton & Hove Albion,BHA,27,22,7,1,4,1,1,7,1,0,5,9,1,0,10,2,0
Burnley,BUR,23,20,7,3,5,0,2,6,2,2,3,7,0,1,13,1,2
Chelsea,CHE,30,19,3,1,1,1,2,0,2,1,5,6,2,2,17,0,0
Crystal Palace,PAL,27,22,1,0,4,4,3,2,1,0,0,19,3,1,7,0,0
Everton,EVE,27,26,7,3,6,0,2,1,4,1,1,16,2,0,9,0,8
Fulham,FUL,26,14,4,0,1,2,1,0,0,0,1,11,0,0,4,0,2
Leeds United,LEE,24,17,3,1,3,1,1,9,0,0,1,10,6,1,3,2,3
Leicester City,LEI,26,18,3,2,3,1,1,10,0,2,9,0,0,0,11,1,2
Liverpool,LIV,29,27,2,2,1,4,1,2,3,0,8,8,10,1,9,2,2
Manchester City,MNC,25,19,3,0,1,8,2,2,1,1,3,6,6,0,6,2,0
Manchester United,MNU,32,19,7,6,0,2,1,4,1,0,3,26,0,2,3,0,2
Newcastle United,NEW,26,24,5,0,6,4,1,10,1,0,5,12,2,2,13,2,1
Sheffield United,SHU,25,16,5,2,1,1,0,4,1,3,3,15,1,1,3,0,0
Southampton,SOT,23,21,3,0,4,1,1,3,2,2,3,7,4,0,11,0,2
Tottenham Hotspur,TOT,30,19,4,1,4,1,2,2,0,0,2,14,1,1,7,2,0
West Bromwich Albion,WBA,27,18,5,4,1,7,0,0,1,0,3,2,1,0,3,0,2
West Ham United,WHU,26,19,4,1,2,5,0,5,3,1,7,7,0,0,10,0,2
Wolverhampton Wanderers,WOL,25,16,1,0,1,4,1,4,1,2,6,6,2,1,1,1,1
